UserID,interaction_count,average_rating,rating_std,activity_span_days,recency_days,active_days,interactions_per_active_day,weekend_interaction_ratio,unique_genre_count,genre_prop_action,genre_prop_adventure,genre_prop_animation,genre_prop_childrens,genre_prop_comedy,genre_prop_crime,genre_prop_documentary,genre_prop_drama,genre_prop_fantasy,genre_prop_film_noir,genre_prop_horror,genre_prop_musical,genre_prop_mystery,genre_prop_romance,genre_prop_sci_fi,genre_prop_thriller,genre_prop_war,genre_prop_western
61,36,2.7777777777777777,1.045018417092968,0.01,793.42,1,36.0,0.0,14,0.2239,0.0746,0.0149,0.0299,0.194,0.0299,0.0,0.0746,0.0149,0.0,0.0597,0.0,0.0149,0.0448,0.0896,0.1194,0.0149,0.0
62,498,3.566265060240964,0.8467160530372162,0.81,792.64,2,249.0,0.0,18,0.0865,0.0469,0.0073,0.0115,0.1656,0.0438,0.0031,0.2521,0.0115,0.0188,0.0167,0.0208,0.0292,0.101,0.0552,0.0854,0.0312,0.0135
63,98,3.4285714285714284,1.2518028236421064,25.6,767.86,3,32.67,0.0918,15,0.0847,0.0169,0.0282,0.0226,0.226,0.0282,0.0113,0.2034,0.0,0.0113,0.0734,0.0,0.0169,0.0508,0.0621,0.1356,0.0282,0.0
64,27,4.148148148148148,0.8639668665167355,0.02,793.54,1,27.0,0.0,12,0.2381,0.127,0.0159,0.0,0.0794,0.0,0.0,0.1111,0.0,0.0,0.0952,0.0159,0.0317,0.0159,0.0794,0.1429,0.0476,0.0
65,121,4.347107438016529,0.8135390156762907,731.51,62.09,17,7.12,0.4628,17,0.2028,0.1189,0.0175,0.028,0.1224,0.0315,0.0035,0.1538,0.0105,0.0035,0.0035,0.0175,0.007,0.0559,0.0664,0.1014,0.0559,0.0
66,26,3.8461538461538463,1.4336612624272915,0.01,793.61,1,26.0,0.0,13,0.1167,0.1,0.0167,0.0667,0.1833,0.0,0.0,0.1833,0.0167,0.0,0.0167,0.0667,0.0,0.0167,0.0667,0.0333,0.1167,0.0
67,64,4.296875,0.8102456515606953,0.04,793.6,1,64.0,0.0,13,0.0439,0.0263,0.0,0.0,0.114,0.0614,0.0,0.4737,0.0,0.0088,0.0175,0.0088,0.0,0.0877,0.0175,0.0526,0.0789,0.0088
68,72,3.75,1.2754452412315793,156.18,637.48,2,36.0,0.0,17,0.05,0.0214,0.0357,0.0429,0.3786,0.0286,0.0071,0.15,0.0143,0.0,0.0214,0.0429,0.0071,0.1,0.0286,0.0214,0.0143,0.0357
69,65,4.153846153846154,1.0492671435156724,0.02,793.66,1,65.0,0.0,10,0.0431,0.0259,0.0,0.0,0.0862,0.0345,0.0,0.5431,0.0,0.0,0.0,0.0,0.0,0.1207,0.0259,0.0517,0.0603,0.0086
70,54,3.7037037037037037,1.222889088132205,0.01,793.71,1,54.0,0.0,16,0.0971,0.0388,0.0583,0.0583,0.2136,0.0291,0.0,0.165,0.0097,0.0097,0.0485,0.0194,0.0194,0.0388,0.0583,0.1165,0.0194,0.0
71,29,3.7586206896551726,0.7394579295380165,0.01,793.73,2,14.5,0.0,13,0.1765,0.1176,0.0,0.0,0.1373,0.0588,0.0,0.1765,0.0,0.0196,0.0392,0.0196,0.0392,0.0196,0.0588,0.1176,0.0196,0.0
72,43,3.697674418604651,1.165677479713391,0.02,793.81,1,43.0,0.0,11,0.0899,0.0449,0.0,0.0,0.2921,0.0337,0.0,0.2472,0.0112,0.0,0.0,0.0,0.0,0.1124,0.0449,0.0674,0.0449,0.0112
73,255,3.364705882352941,1.0519617087975612,75.28,718.58,6,42.5,0.051,16,0.242,0.1122,0.0144,0.0288,0.1522,0.0321,0.0,0.0529,0.0176,0.0,0.0304,0.0096,0.0096,0.0272,0.1282,0.1074,0.0288,0.0064
74,43,4.046511627906977,1.090074011731336,179.13,614.76,4,10.75,0.2791,13,0.0312,0.0,0.0,0.0208,0.1458,0.125,0.0104,0.2292,0.0,0.0625,0.0,0.0417,0.125,0.0521,0.0,0.125,0.0208,0.0104
75,175,4.005714285714285,1.0199005070765363,10.42,783.61,3,58.33,0.1543,14,0.0392,0.1002,0.1351,0.2919,0.1808,0.0,0.0,0.0414,0.0479,0.0,0.0,0.0632,0.0065,0.024,0.0436,0.0131,0.0109,0.0022
76,87,4.172413793103448,0.8654464710345423,130.16,663.91,2,43.5,0.2644,13,0.1446,0.006,0.0422,0.012,0.1446,0.0964,0.0,0.2892,0.0,0.006,0.0,0.0,0.0181,0.0602,0.0361,0.1265,0.0181,0.0
77,39,2.948717948717949,1.2128417684082626,0.01,794.45,1,39.0,0.0,11,0.0702,0.0175,0.0351,0.0175,0.2982,0.0,0.0,0.2982,0.0,0.0,0.0526,0.0,0.0,0.0702,0.0175,0.0877,0.0351,0.0
78,140,3.657142857142857,0.9273729319883042,8.8,785.69,2,70.0,0.0,15,0.0035,0.0246,0.0737,0.0947,0.3719,0.007,0.0,0.1123,0.014,0.0,0.0,0.1509,0.0035,0.1123,0.0105,0.007,0.0105,0.0035
79,31,3.6451612903225805,1.1415891583453361,0.01,794.54,1,31.0,0.0,15,0.08,0.0133,0.04,0.04,0.08,0.0533,0.0,0.16,0.0133,0.0267,0.04,0.0133,0.1867,0.0533,0.0533,0.1467,0.0,0.0
80,48,3.8958333333333335,0.92804033600282,185.12,609.66,3,16.0,0.0,14,0.113,0.0696,0.0783,0.1043,0.1043,0.0174,0.0,0.1826,0.0087,0.0,0.0,0.0435,0.0,0.0783,0.0609,0.0609,0.0696,0.0087
81,86,4.4186046511627906,1.0456083653190476,0.03,794.77,1,86.0,0.0,17,0.0872,0.0407,0.0058,0.0,0.1221,0.0756,0.0058,0.2209,0.0058,0.064,0.0291,0.0116,0.0523,0.0233,0.0581,0.093,0.0814,0.0233
82,118,4.016949152542373,0.7951030772015313,12.22,782.84,2,59.0,0.0424,14,0.1439,0.0468,0.0,0.0,0.0791,0.036,0.0,0.1835,0.0036,0.0036,0.0324,0.0,0.0612,0.0576,0.1079,0.2122,0.0252,0.0072
83,99,3.5757575757575757,1.3709144057809501,0.05,795.53,1,99.0,0.0,17,0.0958,0.1167,0.0375,0.0833,0.1542,0.0125,0.0,0.1,0.15,0.0083,0.025,0.0083,0.0083,0.0708,0.0708,0.05,0.0042,0.0042
84,31,3.838709677419355,1.4628003781229204,0.02,795.56,1,31.0,0.0,11,0.2333,0.1333,0.0,0.0,0.0778,0.0333,0.0,0.1,0.0222,0.0,0.0333,0.0,0.0,0.0444,0.1556,0.0667,0.1,0.0
85,39,3.1025641025641026,1.2730996528339342,169.11,626.49,3,13.0,0.2564,15,0.1061,0.0303,0.0152,0.0152,0.1818,0.0152,0.0152,0.2576,0.0,0.0,0.0909,0.0152,0.0303,0.0303,0.0455,0.1364,0.0152,0.0
86,48,4.3125,0.8789803086410543,65.1,730.72,5,9.6,0.7917,17,0.1111,0.1795,0.0256,0.1026,0.094,0.0085,0.0,0.0513,0.0342,0.0085,0.0256,0.0427,0.0342,0.0855,0.0855,0.0855,0.0171,0.0085
87,59,2.8135593220338984,1.861354496348128,0.86,794.98,2,29.5,0.9661,16,0.3696,0.0797,0.0072,0.0145,0.0652,0.0362,0.0072,0.1232,0.0072,0.0,0.0217,0.0072,0.0,0.058,0.0797,0.0725,0.0362,0.0145
88,68,4.147058823529412,1.0687516205081955,0.03,795.81,1,68.0,1.0,12,0.05,0.025,0.0,0.0,0.1917,0.05,0.0,0.4,0.0,0.025,0.0083,0.0,0.0333,0.075,0.025,0.05,0.0667,0.0
89,21,3.238095238095238,1.7001400502535637,188.42,607.54,2,10.5,1.0,8,0.1875,0.0312,0.0,0.0,0.2812,0.0312,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0312,0.0,0.0625,0.0938,0.0
90,225,3.511111111111111,0.8614310721488355,188.46,607.51,5,45.0,0.9867,17,0.1379,0.0547,0.0131,0.0219,0.1882,0.0613,0.0,0.1575,0.0109,0.0109,0.0175,0.0088,0.0394,0.0525,0.046,0.1444,0.0263,0.0088
91,44,4.704545454545454,0.5531955983003286,0.01,796.16,1,44.0,1.0,13,0.0595,0.0357,0.0,0.0,0.4405,0.0357,0.0,0.1548,0.0119,0.0,0.0119,0.0119,0.0238,0.119,0.0,0.0119,0.0714,0.0119
92,430,2.7581395348837208,1.3334905312005958,104.95,691.47,7,61.43,0.3442,17,0.1004,0.0924,0.0643,0.1104,0.1647,0.0151,0.0,0.0974,0.0402,0.001,0.0221,0.0542,0.01,0.0723,0.0633,0.0723,0.0161,0.004
93,220,2.9727272727272727,1.278262883111123,0.04,796.54,1,220.0,1.0,17,0.3021,0.1297,0.0312,0.0411,0.0591,0.0263,0.0,0.0378,0.0443,0.0016,0.0181,0.0082,0.0033,0.0411,0.1084,0.1084,0.0312,0.0082
94,21,3.857142857142857,0.8535639569308374,0.0,796.6,1,21.0,1.0,10,0.075,0.025,0.025,0.05,0.1,0.0,0.0,0.05,0.0,0.0,0.425,0.025,0.0,0.0,0.125,0.1,0.0,0.0
95,99,3.595959595959596,0.9889098504051855,0.03,796.59,1,99.0,1.0,16,0.1765,0.0633,0.0045,0.0045,0.1719,0.0679,0.0,0.181,0.0,0.0045,0.0045,0.0045,0.0136,0.0633,0.0543,0.1403,0.0407,0.0045
96,81,3.6049382716049383,0.8166855628955219,34.07,762.61,2,40.5,1.0,16,0.1111,0.0526,0.0292,0.0468,0.1228,0.0351,0.0,0.2749,0.0117,0.0058,0.0,0.0175,0.0117,0.0643,0.0351,0.1053,0.0585,0.0175
97,154,4.474025974025974,0.6282879730654712,255.74,540.94,2,77.0,0.987,17,0.0391,0.0391,0.0142,0.0214,0.1495,0.0498,0.0,0.2349,0.0071,0.0463,0.0391,0.0427,0.0463,0.0712,0.0285,0.089,0.0641,0.0178
98,20,3.8,1.1516578439248717,0.01,796.7,1,20.0,1.0,12,0.1364,0.0909,0.0,0.0,0.1591,0.0455,0.0,0.1818,0.0,0.0,0.0455,0.0227,0.0227,0.0682,0.0682,0.0455,0.1136,0.0
99,107,3.2149532710280373,1.3530401643983256,193.82,603.01,5,21.4,0.1308,16,0.0735,0.0441,0.0392,0.0637,0.2451,0.0539,0.0,0.2304,0.0196,0.0,0.0098,0.0245,0.0049,0.0588,0.0294,0.0686,0.0294,0.0049
100,76,3.026315789473684,0.8636926028864099,0.02,796.99,1,76.0,1.0,16,0.287,0.1528,0.0,0.0046,0.0509,0.0278,0.0,0.1111,0.0093,0.0046,0.0093,0.0046,0.0185,0.0648,0.1111,0.0648,0.0648,0.0139
101,106,4.679245283018868,0.6101860732802392,0.02,797.17,1,106.0,1.0,14,0.3414,0.1448,0.0,0.0172,0.0793,0.0138,0.0,0.0655,0.0172,0.0,0.0138,0.0,0.0034,0.0414,0.1172,0.1138,0.0276,0.0034
102,132,3.128787878787879,1.5203721070757945,766.5,30.73,6,22.0,0.5606,17,0.082,0.0328,0.0328,0.0369,0.1844,0.0328,0.0,0.2131,0.0082,0.0246,0.0082,0.0123,0.0328,0.0984,0.0697,0.1148,0.0082,0.0082
103,115,4.052173913043478,0.9719168820579722,0.02,797.44,1,115.0,1.0,15,0.3156,0.1062,0.0125,0.0219,0.0594,0.0219,0.0,0.0594,0.0062,0.0,0.0156,0.0125,0.0156,0.0312,0.1219,0.1688,0.0312,0.0
104,46,3.347826086956522,1.0794523571257546,445.71,351.84,2,23.0,0.6522,14,0.125,0.025,0.025,0.025,0.225,0.05,0.0,0.1875,0.0,0.0125,0.05,0.0,0.0,0.0375,0.075,0.1375,0.0125,0.0125
105,61,4.295081967213115,0.9008192992138131,0.01,797.57,1,61.0,1.0,13,0.3476,0.0793,0.0,0.0,0.0366,0.0488,0.0,0.1037,0.0183,0.0,0.0244,0.0061,0.0,0.0549,0.0976,0.1037,0.061,0.0183
106,47,4.0212765957446805,0.7658289541725545,0.01,797.66,1,47.0,1.0,14,0.0403,0.0242,0.0161,0.0242,0.1855,0.0,0.0,0.1694,0.0081,0.0,0.0081,0.0484,0.0161,0.3387,0.0161,0.0565,0.0484,0.0
